id_producto,nombre_marca,nombre_reciclaje,nombre_empresa,nombre_productos_clasificacion,nombre,gramos_envase,formato,unidad,unidad_real,cantidad,texto,cluster300,label300,label
2229.0,savory,,SAVORY,CONGELADOS,Helado savory veggie vainilla almendras con salsa de caramelo salado,1.0,318G,GR,GR,318.0,helado savory veggie vainilla almendra salsa caramelo salado,31,Salsa,Salsa
2230.0,savory,,SAVORY,CONGELADOS,Helado veggie maracuyá,1.0,LT,LT,LT,,helado veggie maracuyá,35,Helado,Helado
2231.0,san,,,CONGELADOS,Helado dulce leche,1.0,FRANCISCO,FRANCISCO,FRANCISCO,,helado dulce leche,234,Dulce Helado Leche,Dulce Helado Leche
2232.0,san,,,CONGELADOS,Helado avella europ,1.0,FRANCISCO,FRANCISCO,FRANCISCO,,helado avella europ,35,Helado,Helado
2233.0,guallarauco,,,CONGELADOS,Helado de fruta mango,1.0,672G,GR,GR,672.0,helado fruta mango,35,Helado,Helado
2234.0,guallarauco,,,CONGELADOS,Helado de fruta tropical,1.0,667G,GR,GR,667.0,helado fruta tropical,35,Helado,Helado
2235.0,guallarauco,,,CONGELADOS,Cheescake maracuya,1.0,105KG,KG,KG,105.0,cheescake maracuya,43,,
2236.0,tottus,,TOTTUS,CONGELADOS,Hielo bolsa,1.0,2KG,KG,KG,2.0,hielo bolsa,214,Bolsa,Bolsa
2237.0,hielo,,,CONGELADOS,Hielo bolsa,1.0,POP,POP,POP,,hielo bolsa,214,Bolsa,Bolsa
2239.0,mazola,,MAZOLA,DESPENSA,Aceite Canola,1.0,1LT,LT,LT,1.0,aceite canola,12,Aceite,Aceite
2240.0,farchioni,,FARCHIONI,DESPENSA,Aceite Oliva Peperoncino,1.0,250ML,ML,ML,250.0,aceite oliva peperoncino,12,Aceite,Aceite
2241.0,tucapel,,TUCAPEL,DESPENSA,Arroz G Grano Largo Angosto,1.0,1KG,KG,KG,1.0,arroz grano largo angosto,60,Arroz,Arroz
2242.0,banquete,,BANQUETE,DESPENSA,Garbanzos Sin Piel sin piel,1.0,1KG,KG,KG,1.0,garbanzo piel piel,280,Piel,Piel
2243.0,banquete,,BANQUETE,DESPENSA,Lentejas MM,1.0,1KG,KG,KG,1.0,lenteja,277,Lenteja,Lenteja
2247.0,tottus,,TOTTUS,DESPENSA,Atún en Agua,1.0,170G,GR,GR,170.0,atún agua,43,,Atún
2248.0,tottus,,TOTTUS,DESPENSA,Pack Atún en Aceite x,1.0,80G,GR,GR,80.0,pack atún aceite,12,Aceite,Aceite
2249.0,wasil,,,DESPENSA,Lentejas Listos Tetra,1.0,380G,GR,GR,380.0,lenteja listo tetra,277,Lenteja,Lenteja
2250.0,tottus,,TOTTUS,DESPENSA,Palmito Rodaja Premium,1.0,400G,GR,GR,400.0,palmito rodaja premium,54,Premium,Premium
2251.0,tottus,,TOTTUS,DESPENSA,Duraznos Cubitos,1.0,415G,GR,GR,415.0,durazno cubito,43,,
2252.0,wasil,,,DESPENSA,Crema Lentejas,1.0,380G,GR,GR,380.0,crema lentejas,159,Crema,Crema
2253.0,esmeralda,,,DESPENSA,Palmitos Enteros,1.0,400G,GR,GR,400.0,palmito entero,43,,Palmito
1638.0,loncoleche,,LONCOLECHE,"CARNES, PESCADOS Y  FIAMBRES",Pack leche platano,1.0,2006MLX,ML,ML,2006.0,pack leche platano,73,Leche,Leche
2255.0,smiley,,,DESPENSA,Pure Zapallo Zanahoria,1.0,?KIDS,KIDS,KIDS,,pure zapallo zanahoria,43,,Pure Zanahoria Zapallo
2256.0,van,,,DESPENSA,Pack Atún en Agua x,1.0,?CAMPS,CAMPS,CAMPS,,pack atún agua,43,,Atún
2257.0,van,,,DESPENSA,Pack Atún en Aceite Oliva x,1.0,?CAMPS,CAMPS,CAMPS,,pack atún aceite oliva,12,Aceite,Aceite
2258.0,tottus,,TOTTUS,DESPENSA,Surtido Mariscos al Natural,1.0,425G,GR,GR,425.0,surtir marisco natural,43,,Surtir
2259.0,tottus,,TOTTUS,DESPENSA,Surtido Mariscos al Natural,1.0,190G,GR,GR,190.0,surtir marisco natural,43,,Surtir
2260.0,tottus,,TOTTUS,DESPENSA,Surtido Mariscos en Aceite,1.0,190G,GR,GR,190.0,surtir marisco aceite,12,Aceite,Aceite
2261.0,tottus,,TOTTUS,DESPENSA,Pack Cups Durazno trocitos x,1.0,113G,GR,GR,113.0,pack cups durazno trocitos,43,,
2263.0,tottus,,TOTTUS,DESPENSA,Alcachofa Cuartos,1.0,400G,GR,GR,400.0,alcachofa cuartos,43,,Alcachofa Cuartos
2264.0,tottus,,TOTTUS,DESPENSA,Piñas Trocitos,1.0,565G,GR,GR,565.0,piña trocito,43,,Trocito
2265.0,tottus,,TOTTUS,DESPENSA,Mango al Jugo,1.0,440G,GR,GR,440.0,mango jugo,52,Jugo,Jugo
2266.0,dantza,,,DESPENSA,Tomate Entero Pelado Dantza,1.0,390G,GR,GR,390.0,tomate entero pelado dantza,43,,Pelado Tomate
